rayon_id,rayon_name,year,facilities,rooms,beds,total_guests,domestic_tourists,foreign_tourists,total_nights,domestic_nights,foreign_nights,occupancy_rate,avg_stay,revenue_azn,employees,travel_agencies,population,area_km2
siazan,Siazan,2015,,,,,,,,,,,,,,,,
siazan,Siazan,2019,,,,,,,,,,,,,,,,
siazan,Siazan,2020,,,,,,,,,,,,,,,,
siazan,Siazan,2021,,,,,,,,,,,,,,,,
siazan,Siazan,2022,,,,,,,,,,,,,,,,
siazan,Siazan,2023,,,,,,,,,,,,,,,,
siazan,Siazan,2024,,,,,,,,,,,,,,,,
siazan,Siazan,2025,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2005,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2010,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2015,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2019,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2020,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2021,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2022,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2023,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2024,,,,,,,,,,,,,,,,
sumqayit,Sumqayit,2025,,,,,,,,,,,,,,,,
tartar,Tartar,2005,,,,,,,,,,,,,,,,
tartar,Tartar,2010,,,,,,,,,,,,,,,,
tartar,Tartar,2015,,,,,,,,,,,,,,,,
tartar,Tartar,2019,,,,,,,,,,,,,,,,
tartar,Tartar,2020,,,,,,,,,,,,,,,,
tartar,Tartar,2021,,,,,,,,,,,,,,,,
tartar,Tartar,2022,,,,,,,,,,,,,,,,
tartar,Tartar,2023,,,,,,,,,,,,,,,,
tartar,Tartar,2024,,,,,,,,,,,,,,,,
tartar,Tartar,2025,,,,,,,,,,,,,,,,
tovuz,Tovuz,2005,,,,,,,,,,,,,,,,
tovuz,Tovuz,2010,,,,,,,,,,,,,,,,
tovuz,Tovuz,2015,,,,,,,,,,,,,,,,
tovuz,Tovuz,2019,,,,,,,,,,,,,,,,
tovuz,Tovuz,2020,,,,,,,,,,,,,,,,
tovuz,Tovuz,2021,,,,,,,,,,,,,,,,
tovuz,Tovuz,2022,,,,,,,,,,,,,,,,
tovuz,Tovuz,2023,,,,,,,,,,,,,,,,
tovuz,Tovuz,2024,,,,,,,,,,,,,,,,
tovuz,Tovuz,2025,,,,,,,,,,,,,,,,
ujar,Ujar,2005,,,,,,,,,,,,,,,,
ujar,Ujar,2010,,,,,,,,,,,,,,,,
ujar,Ujar,2015,,,,,,,,,,,,,,,,
ujar,Ujar,2019,,,,,,,,,,,,,,,,
ujar,Ujar,2020,,,,,,,,,,,,,,,,
ujar,Ujar,2021,,,,,,,,,,,,,,,,
ujar,Ujar,2022,,,,,,,,,,,,,,,,
ujar,Ujar,2023,,,,,,,,,,,,,,,,
ujar,Ujar,2024,,,,,,,,,,,,,,,,
