page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
49,5.1,Number of hotels and similar establishments (units),rayonu,10.0,10.0,10.0,10.0,10.0,8.0
49,5.1,Number of hotels and similar establishments (units),Şirvan şəhəri,4.0,4.0,4.0,4.0,5.0,3.0
49,5.1,Number of hotels and similar establishments (units),Biləsuvar rayonu,4.0,4.0,4.0,4.0,3.0,3.0
49,5.1,Number of hotels and similar establishments (units),Hacıqabul rayonu,,,,,,
49,5.1,Number of hotels and similar establishments (units),Neftçala rayonu,,,,,,
49,5.1,Number of hotels and similar establishments (units),Salyan rayonu,2.0,2.0,2.0,2.0,2.0,2.0
49,5.1,Number of hotels and similar establishments (units),Ölkə üzrə - c ə m i,46.0,693.0,49.0,980.0,50.0,687.0
49,5.1,Number of hotels and similar establishments (units),Bakı şəhəri,18.0,637.0,20.0,740.0,21.0,151.0
49,5.1,Number of hotels and similar establishments (units),Binəqədi rayonu,554.0,887.0,887.0,979.0,1.0,271.0
49,5.1,Number of hotels and similar establishments (units),Xətai rayonu,896.0,941.0,1.0,47.0,1.0,97.0
49,5.1,Number of hotels and similar establishments (units),Xəzər rayonu,568.0,802.0,802.0,930.0,970.0,993.0
49,5.1,Number of hotels and similar establishments (units),Qaradağ rayonu,247.0,129.0,129.0,129.0,201.0,201.0
49,5.1,Number of hotels and similar establishments (units),Nərimanov rayonu,1.0,820.0,3.0,148.0,3.0,342.0
49,5.1,Number of hotels and similar establishments (units),Nəsimi rayonu,4.0,856.0,5.0,192.0,5.0,205.0
49,5.1,Number of hotels and similar establishments (units),Nizami rayonu,562.0,758.0,774.0,814.0,814.0,814.0
49,5.1,Number of hotels and similar establishments (units),Sabunçu rayonu,972.0,520.0,563.0,563.0,563.0,876.0
49,5.1,Number of hotels and similar establishments (units),Səbail rayonu,5.0,611.0,6.0,253.0,6.0,253.0
49,5.1,Number of hotels and similar establishments (units),Suraxanı rayonu,,,33.0,33.0,48.0,48.0
