page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
53,5.3,Number of rooms in hotels and similar establishments (units),Xəzər rayonu,59.0,595.0,49.0,813.0,44.0,657.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Qaradağ rayonu,1.0,419.0,1.0,648.0,1.0,371.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Nərimanov rayonu,105.0,450.0,151.0,862.0,65.0,156.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Nəsimi rayonu,575.0,485.0,688.0,875.0,195.0,130.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Nizami rayonu,27495.0,25.0,894.0,4.0,206.0,422.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Pirallahı rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Sabunçu rayonu,47.0,824.0,44.0,239.0,21.0,286.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Səbail rayonu,636.0,821.0,627.0,791.0,197.0,322.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Suraxanı rayonu,,,,,742.0,2.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Yasamal rayonu,286.0,38.0,297.0,946.0,39.0,211.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Respublikası,87.0,621.0,90.0,719.0,23.0,812.0
54,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,25318.0,20442.0,6735.0,9.0,775.0,10.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Sumqayıt şəhəri,16.0,18.0,7.0,555.0,2.0,845.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Abşeron rayonu,8.0,774.0,11.0,273.0,2.0,985.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Xızı rayonu,526.0,1.0,614.0,905.0,722.0,681.0
54,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,30.0,618.0,36.0,212.0,10.0,418.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Ağsu rayonu,1.0,568.0,1.0,890.0,1.0,16.0
54,5.4,Number of overnights in hotels and similar establishments (nights),İsmayıllı rayonu,9.0,437.0,10.0,287.0,842.0,4.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Qobustan rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Şamaxı rayonu,19.0,613.0,24.0,35.0,8.0,560.0
54,5.4,Number of overnights in hotels and similar establishments (nights),iqtisadi rayonu,154.0,622.0,155.0,298.0,39.0,511.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Gəncə şəhəri,28.0,339.0,27.0,900.0,8.0,457.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Naftalan şəhəri,123.0,429.0,123.0,964.0,30.0,780.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Daşkəsən rayonu,23.0,5.0,5.0,,,832.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Goranboy rayonu,1.0,563.0,2.0,605.0,234.0,1.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Göygöl rayonu,1.0,268.0,824.0,35.0,815.0,6.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Samux rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,3.0,198.0,5.0,624.0,4.0,539.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Xankəndi şəhəri,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Ağcabədi rayonu,296.0,1.0,856.0,2.0,71.0,5.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Ağdam rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Ağdərə rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Bərdə rayonu,1.0,862.0,2.0,533.0,2.0,17.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Füzuli rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Xocalı rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Xocavənd rayonu,,,,,,
54,5.4,Number of overnights in hotels and similar establishments (nights),Şuşa rayonu,,,,1.0,671.0,17.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Tərtər rayonu,1.0,40.0,1.0,235.0,451.0,733.0
54,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,50.0,617.0,34.0,279.0,8.0,780.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Ağstafa rayonu,18.0,233.0,4.0,262.0,2.0,472.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Gədəbəy rayonu,1.0,799.0,1.0,708.0,347.0,1.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Qazax rayonu,7.0,527.0,2.0,510.0,225.0,447.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Şəmkir rayonu,11.0,972.0,8.0,655.0,3.0,953.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Tovuz rayonu,11.0,86.0,17.0,144.0,1.0,783.0
54,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,384.0,480.0,537.0,88.0,124.0,814.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Xaçmaz rayonu,162.0,429.0,148.0,147.0,9.0,448.0
54,5.4,Number of overnights in hotels and similar establishments (nights),Quba rayonu,113.0,894.0,264.0,203.0,41.0,463.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Qusar rayonu,107.0,496.0,94.0,547.0,54.0,651.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Siyəzən rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Şabran rayonu,661.0,30.0,191.0,19.0,252.0,103.0
55,5.4,Number of overnights in hotels and similar establishments (nights),iqtisadi rayonu,61.0,502.0,91.0,436.0,43.0,52.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Astara rayonu,5.0,942.0,4.0,674.0,3.0,154.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Cəlilabad rayonu,1.0,899.0,2.0,35.0,889.0,2.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Lerik rayonu,10.0,364.0,21.0,910.0,,4.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Lənkəran rayonu,23.0,128.0,39.0,890.0,31.0,810.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Masallı rayonu,20.0,169.0,22.0,927.0,7.0,199.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Yardımlı rayonu,,,,,63.0,827.0
55,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,34.0,852.0,45.0,176.0,22.0,627.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Mingəçevir şəhəri,18.0,987.0,32.0,966.0,12.0,330.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Ağdaş rayonu,709.0,745.0,509.0,567.0,476.0,545.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Göyçay rayonu,4.0,113.0,7.0,989.0,5.0,865.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Kürdəmir rayonu,10.0,113.0,2.0,800.0,3.0,812.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Ucar rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Yevlax rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Zərdab rayonu,930.0,676.0,111.0,,,296.0
55,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,8.0,862.0,10.0,541.0,7.0,524.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Beyləqan rayonu,5.0,461.0,6.0,689.0,4.0,773.0
55,5.4,Number of overnights in hotels and similar establishments (nights),İmişli rayonu,1.0,38.0,452.0,384.0,338.0,369.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Saatlı rayonu,390.0,392.0,175.0,150.0,,2.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Sabirabad rayonu,1.0,973.0,3.0,8.0,2.0,192.0
55,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,368.0,205.0,372.0,402.0,118.0,540.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Balakən rayonu,2.0,156.0,3.0,969.0,1.0,83.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Qax rayonu,28.0,410.0,33.0,909.0,8.0,844.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Qəbələ rayonu,311.0,591.0,301.0,511.0,96.0,743.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Oğuz rayonu,1.0,707.0,2.0,287.0,1.0,85.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Şəki rayonu,15.0,942.0,21.0,127.0,4.0,122.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Zaqatala rayonu,8.0,399.0,9.0,599.0,6.0,663.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Cəbrayıl rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Kəlbəcər rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Qubadlı rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Laçın rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Zəngilan rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,16.0,941.0,14.0,444.0,9.0,151.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Şirvan şəhəri,11.0,651.0,8.0,842.0,4.0,75.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Biləsuvar rayonu,3.0,504.0,4.0,79.0,3.0,521.0
55,5.4,Number of overnights in hotels and similar establishments (nights),Hacıqabul rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Neftçala rayonu,,,,,,
55,5.4,Number of overnights in hotels and similar establishments (nights),Salyan rayonu,1.0,786.0,1.0,523.0,1.0,555.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Ölkə üzrə - cəmi,952.0,949.0,1.0,104.0,412.0,583.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Bakı şəhəri,254.0,230.0,206.0,60.0,255.0,194.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Binəqədi rayonu,1.0,433.0,2.0,649.0,4.0,158.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Xətai rayonu,2.0,247.0,4.0,357.0,1.0,827.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Xəzər rayonu,11.0,654.0,11.0,906.0,11.0,387.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Qaradağ rayonu,830.0,1.0,138.0,1.0,227.0,2.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Nərimanov rayonu,8.0,82.0,17.0,708.0,49.0,548.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Nəsimi rayonu,149.0,786.0,61.0,626.0,81.0,819.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Nizami rayonu,6.0,541.0,12.0,603.0,2.0,828.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Pirallahı rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Səbail rayonu,49.0,618.0,62.0,285.0,79.0,848.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Sabunçu rayonu,4.0,868.0,4.0,802.0,13.0,106.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Suraxanı rayonu,,,,,742.0,2.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Yasamal rayonu,19.0,171.0,26.0,986.0,9.0,446.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Respublikası,24.0,357.0,24.0,630.0,9.0,803.0
56,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,14.0,649.0,15.0,797.0,6.0,273.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Sumqayıt şəhəri,8.0,617.0,6758.0,2.0,643.0,6.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Abşeron rayonu,5.0,638.0,7.0,521.0,2.0,729.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Xızı rayonu,394.0,1518.0,901.0,722.0,681.0,2.0
56,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,26.0,553.0,32.0,511.0,9.0,912.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Ağsu rayonu,1.0,568.0,1.0,890.0,1.0,16.0
56,5.4,Number of overnights in hotels and similar establishments (nights),İsmayıllı rayonu,9.0,218.0,9.0,836.0,646.0,3.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Qobustan rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Şamaxı rayonu,15.0,767.0,20.0,785.0,8.0,250.0
56,5.4,Number of overnights in hotels and similar establishments (nights),iqtisadi rayonu,65.0,114.0,73.0,936.0,22.0,380.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Gəncə şəhəri,14.0,824.0,13.0,392.0,6.0,953.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Naftalan şəhəri,47.0,436.0,57.0,110.0,15.0,153.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Daşkəsən rayonu,23.0,5.0,5.0,,,832.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Goranboy rayonu,1.0,563.0,2.0,605.0,234.0,1.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Göygöl rayonu,1.0,268.0,824.0,35.0,815.0,2.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Samux rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),rayonu,3.0,198.0,5.0,624.0,4.0,539.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Xankəndi şəhəri,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Ağcabədi rayonu,296.0,1.0,856.0,2.0,71.0,5.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Ağdam rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Ağdərə rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Bərdə rayonu,1.0,862.0,2.0,533.0,2.0,17.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Füzuli rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Xocalı rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Xocavənd rayonu,,,,,,
56,5.4,Number of overnights in hotels and similar establishments (nights),Şuşa rayonu,,,,1.0,449.0,14.0
56,5.4,Number of overnights in hotels and similar establishments (nights),Tərtər rayonu,1.0,40.0,1.0,235.0,451.0,733.0
57,5.5,Overnights of country citizens in hotels (nights),rayonu,48.0,720.0,33.0,165.0,8.0,634.0
57,5.5,Overnights of country citizens in hotels (nights),Ağstafa rayonu,17.0,343.0,3.0,848.0,2.0,364.0
57,5.5,Overnights of country citizens in hotels (nights),Gədəbəy rayonu,1.0,725.0,1.0,631.0,347.0,1.0
57,5.5,Overnights of country citizens in hotels (nights),Qazax rayonu,7.0,418.0,2.0,53.0,220.0,447.0
57,5.5,Overnights of country citizens in hotels (nights),Şəmkir rayonu,11.0,148.0,8.0,539.0,3.0,920.0
57,5.5,Overnights of country citizens in hotels (nights),Tovuz rayonu,11.0,86.0,17.0,94.0,1.0,783.0
57,5.5,Overnights of country citizens in hotels (nights),rayonu,254.0,790.0,418.0,275.0,89.0,638.0
57,5.5,Overnights of country citizens in hotels (nights),Xaçmaz rayonu,161.0,70.0,146.0,562.0,9.0,194.0
57,5.5,Overnights of country citizens in hotels (nights),Quba rayonu,51.0,896.0,187.0,302.0,32.0,882.0
57,5.5,Overnights of country citizens in hotels (nights),Qusar rayonu,41.0,163.0,56.0,412.0,29.0,143.0
57,5.5,Overnights of country citizens in hotels (nights),Siyəzən rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Şabran rayonu,661.0,27.0,999.0,18.0,419.0,97.0
57,5.5,Overnights of country citizens in hotels (nights),iqtisadi rayonu,57.0,462.0,87.0,503.0,42.0,560.0
57,5.5,Overnights of country citizens in hotels (nights),Astara rayonu,3.0,441.0,3.0,36.0,2.0,942.0
57,5.5,Overnights of country citizens in hotels (nights),Cəlilabad rayonu,1.0,887.0,2.0,35.0,883.0,2.0
57,5.5,Overnights of country citizens in hotels (nights),Lerik rayonu,10.0,313.0,21.0,706.0,,4.0
57,5.5,Overnights of country citizens in hotels (nights),Lənkəran rayonu,21.0,671.0,37.0,828.0,31.0,540.0
57,5.5,Overnights of country citizens in hotels (nights),Masallı rayonu,20.0,150.0,22.0,898.0,7.0,195.0
57,5.5,Overnights of country citizens in hotels (nights),Yardımlı rayonu,,,,,63.0,819.0
57,5.5,Overnights of country citizens in hotels (nights),rayonu,25.0,409.0,30.0,708.0,19.0,747.0
57,5.5,Overnights of country citizens in hotels (nights),Mingəçevir şəhəri,11.0,67.0,18.0,870.0,9.0,524.0
57,5.5,Overnights of country citizens in hotels (nights),Ağdaş rayonu,709.0,745.0,509.0,567.0,465.0,536.0
57,5.5,Overnights of country citizens in hotels (nights),Göyçay rayonu,3.0,945.0,7.0,617.0,5.0,791.0
57,5.5,Overnights of country citizens in hotels (nights),Kürdəmir rayonu,8.0,761.0,2.0,800.0,3.0,812.0
57,5.5,Overnights of country citizens in hotels (nights),Ucar rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Yevlax rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Zərdab rayonu,927.0,676.0,111.0,,,296.0
57,5.5,Overnights of country citizens in hotels (nights),rayonu,8.0,694.0,10.0,502.0,7.0,519.0
57,5.5,Overnights of country citizens in hotels (nights),Beyləqan rayonu,5.0,322.0,6.0,652.0,4.0,768.0
57,5.5,Overnights of country citizens in hotels (nights),İmişli rayonu,1.0,10.0,450.0,384.0,338.0,369.0
57,5.5,Overnights of country citizens in hotels (nights),Saatlı rayonu,389.0,392.0,175.0,150.0,,2.0
57,5.5,Overnights of country citizens in hotels (nights),Sabirabad rayonu,1.0,973.0,3.0,8.0,2.0,192.0
57,5.5,Overnights of country citizens in hotels (nights),rayonu,153.0,994.0,151.0,719.0,97.0,983.0
57,5.5,Overnights of country citizens in hotels (nights),Balakən rayonu,1.0,862.0,3.0,613.0,1.0,20.0
57,5.5,Overnights of country citizens in hotels (nights),Qax rayonu,27.0,164.0,30.0,856.0,8.0,638.0
57,5.5,Overnights of country citizens in hotels (nights),Qəbələ rayonu,106.0,590.0,96.0,600.0,76.0,860.0
57,5.5,Overnights of country citizens in hotels (nights),Oğuz rayonu,1.0,707.0,2.0,287.0,1.0,85.0
57,5.5,Overnights of country citizens in hotels (nights),Şəki rayonu,9.0,21.0,9.0,604.0,3.0,820.0
57,5.5,Overnights of country citizens in hotels (nights),Zaqatala rayonu,7.0,650.0,8.0,759.0,6.0,560.0
57,5.5,Overnights of country citizens in hotels (nights),iqtisadi rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Cəbrayıl rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Kəlbəcər rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Qubadlı rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Laçın rayonu,,,,,,
57,5.5,Overnights of country citizens in hotels (nights),Zəngilan rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),rayonu,15.0,779.0,13.0,982.0,8.0,875.0
58,5.5,Overnights of country citizens in hotels (nights),Şirvan şəhəri,11.0,618.0,8.0,819.0,4.0,75.0
58,5.5,Overnights of country citizens in hotels (nights),Biləsuvar rayonu,2.0,918.0,3.0,827.0,3.0,447.0
58,5.5,Overnights of country citizens in hotels (nights),Hacıqabul rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Neftçala rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Salyan rayonu,1.0,243.0,1.0,336.0,1.0,353.0
58,5.5,Overnights of country citizens in hotels (nights),Ölkə üzrə - c ə m i,2.0,50.0,10.0,2.0,240.0,873.0
58,5.5,Overnights of country citizens in hotels (nights),Bakı şəhəri,1.0,521.0,893.0,1.0,725.0,564.0
58,5.5,Overnights of country citizens in hotels (nights),Binəqədi rayonu,6.0,762.0,12.0,496.0,1.0,788.0
58,5.5,Overnights of country citizens in hotels (nights),Xətai rayonu,25.0,554.0,77.0,54.0,4.0,171.0
58,5.5,Overnights of country citizens in hotels (nights),Xəzər rayonu,47.0,941.0,47.0,907.0,33.0,270.0
58,5.5,Overnights of country citizens in hotels (nights),Qaradağ rayonu,589.0,1.0,365.0,144.0,282.0,175.0
58,5.5,Overnights of country citizens in hotels (nights),Nərimanov rayonu,97.0,368.0,164.0,154.0,15.0,608.0
58,5.5,Overnights of country citizens in hotels (nights),Nəsimi rayonu,425.0,699.0,677.0,249.0,113.0,311.0
58,5.5,Overnights of country citizens in hotels (nights),Nizami rayonu,20.0,954.0,33.0,291.0,1.0,378.0
58,5.5,Overnights of country citizens in hotels (nights),Pirallahı rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Sabunçu rayonu,42.0,956.0,49.0,446.0,8.0,180.0
58,5.5,Overnights of country citizens in hotels (nights),Səbail rayonu,587.0,203.0,585.0,506.0,117.0,474.0
58,5.5,Overnights of country citizens in hotels (nights),Suraxanı rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Yasamal rayonu,266.0,867.0,77.0,96.0,29.0,765.0
58,5.5,Overnights of country citizens in hotels (nights),Respublikası,63.0,264.0,66.0,89.0,14.0,9.0
58,5.5,Overnights of country citizens in hotels (nights),rayonu,10.0,669.0,4.0,645.0,462.0,550.0
58,5.5,Overnights of country citizens in hotels (nights),Sumqayıt şəhəri,7.0,401.0,797.0,202.0,32.0,762.0
58,5.5,Overnights of country citizens in hotels (nights),Abşeron rayonu,3.0,136.0,3.0,752.0,256.0,518.0
58,5.5,Overnights of country citizens in hotels (nights),Xızı rayonu,132.0,96.0,4.0,,,
58,5.5,Overnights of country citizens in hotels (nights),rayonu,4.0,65.0,3.0,701.0,506.0,2.0
58,5.5,Overnights of country citizens in hotels (nights),Ağsu rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),İsmayıllı rayonu,219.0,451.0,196.0,1.0,97.0,2.0
58,5.5,Overnights of country citizens in hotels (nights),Qobustan rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Şamaxı rayonu,3.0,846.0,3.0,250.0,310.0,1.0
58,5.5,Overnights of country citizens in hotels (nights),iqtisadi rayonu,89.0,508.0,81.0,362.0,17.0,131.0
58,5.5,Overnights of country citizens in hotels (nights),Gəncə şəhəri,13.0,515.0,14.0,508.0,1.0,504.0
58,5.5,Overnights of country citizens in hotels (nights),Naftalan şəhəri,75.0,993.0,66.0,854.0,15.0,627.0
58,5.5,Overnights of country citizens in hotels (nights),Daşkəsən rayonu,,,,,,
58,5.5,Overnights of country citizens in hotels (nights),Goranboy rayonu,,,,,,34.0
58,5.5,Overnights of country citizens in hotels (nights),Göygöl rayonu,,,,,4.0,112.0
58,5.5,Overnights of country citizens in hotels (nights),Samux rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),rayonu,,,,222.0,2.0,920.0
59,5.6,Overnights of foreigners in hotels (nights),Xankəndi şəhəri,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Ağcabədi rayonu,,,,,190.0,377.0
59,5.6,Overnights of foreigners in hotels (nights),Ağdam rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Ağdərə rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Bərdə rayonu,,,,,169.0,131.0
59,5.6,Overnights of foreigners in hotels (nights),Füzuli rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Xocalı rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Xocavənd rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Şuşa rayonu,,,,222.0,2.0,561.0
59,5.6,Overnights of foreigners in hotels (nights),Tərtər rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),rayonu,1.0,897.0,1.0,114.0,146.0,12.0
59,5.6,Overnights of foreigners in hotels (nights),Ağstafa rayonu,890.0,414.0,108.0,12.0,89.0,75.0
59,5.6,Overnights of foreigners in hotels (nights),Gədəbəy rayonu,74.0,77.0,,,,13.0
59,5.6,Overnights of foreigners in hotels (nights),Qazax rayonu,109.0,457.0,5.0,,4.0,8.0
59,5.6,Overnights of foreigners in hotels (nights),Şəmkir rayonu,824.0,116.0,33.0,,253.0,1.0
59,5.6,Overnights of foreigners in hotels (nights),Tovuz rayonu,,50.0,,,,2.0
59,5.6,Overnights of foreigners in hotels (nights),rayonu,129.0,690.0,118.0,813.0,35.0,176.0
59,5.6,Overnights of foreigners in hotels (nights),Xaçmaz rayonu,1.0,359.0,1.0,585.0,254.0,134.0
59,5.6,Overnights of foreigners in hotels (nights),Quba rayonu,61.0,998.0,76.0,901.0,8.0,581.0
59,5.6,Overnights of foreigners in hotels (nights),Qusar rayonu,66.0,333.0,38.0,135.0,25.0,508.0
59,5.6,Overnights of foreigners in hotels (nights),Siyəzən rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Şabran rayonu,,2.0,192.0,833.0,6.0,458.0
59,5.6,Overnights of foreigners in hotels (nights),iqtisadi rayonu,4.0,40.0,3.0,933.0,492.0,1.0
59,5.6,Overnights of foreigners in hotels (nights),Astara rayonu,2.0,501.0,1.0,638.0,212.0,87.0
59,5.6,Overnights of foreigners in hotels (nights),Cəlilabad rayonu,12.0,,6.0,,173.0,57.0
59,5.6,Overnights of foreigners in hotels (nights),Lerik rayonu,51.0,204.0,,,,
59,5.6,Overnights of foreigners in hotels (nights),Lənkəran rayonu,1.0,457.0,2.0,62.0,270.0,976.0
59,5.6,Overnights of foreigners in hotels (nights),Masallı rayonu,19.0,29.0,4.0,,91.0,534.0
59,5.6,Overnights of foreigners in hotels (nights),Yardımlı rayonu,,,,,,8.0
59,5.6,Overnights of foreigners in hotels (nights),rayonu,9.0,443.0,14.0,468.0,2.0,880.0
59,5.6,Overnights of foreigners in hotels (nights),Mingəçevir şəhəri,7.0,920.0,14.0,96.0,2.0,806.0
59,5.6,Overnights of foreigners in hotels (nights),Ağdaş rayonu,,,,,11.0,9.0
59,5.6,Overnights of foreigners in hotels (nights),Göyçay rayonu,168.0,372.0,74.0,269.0,695.0,322.0
59,5.6,Overnights of foreigners in hotels (nights),Kürdəmir rayonu,1.0,352.0,,,,
59,5.6,Overnights of foreigners in hotels (nights),Ucar rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Yevlax rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Zərdab rayonu,3.0,,,,,
59,5.6,Overnights of foreigners in hotels (nights),rayonu,168.0,39.0,5.0,69.0,326.0,472.0
59,5.6,Overnights of foreigners in hotels (nights),Beyləqan rayonu,139.0,37.0,5.0,69.0,326.0,218.0
59,5.6,Overnights of foreigners in hotels (nights),İmişli rayonu,28.0,2.0,,,,8.0
59,5.6,Overnights of foreigners in hotels (nights),Saatlı rayonu,1.0,,,,,246.0
59,5.6,Overnights of foreigners in hotels (nights),Sabirabad rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),rayonu,214.0,211.0,220.0,683.0,20.0,557.0
59,5.6,Overnights of foreigners in hotels (nights),Balakən rayonu,294.0,356.0,63.0,16.0,176.0,412.0
59,5.6,Overnights of foreigners in hotels (nights),Qax rayonu,1.0,246.0,3.0,53.0,206.0,15.0
59,5.6,Overnights of foreigners in hotels (nights),Qəbələ rayonu,205.0,1.0,204.0,911.0,19.0,883.0
59,5.6,Overnights of foreigners in hotels (nights),Oğuz rayonu,,,,,,
59,5.6,Overnights of foreigners in hotels (nights),Şəki rayonu,6.0,921.0,11.0,523.0,302.0,424.0
