year,visitor_type,visitor_type_en,purpose,count_thousands,count
2021,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,qohum ziyarəti,102.7,102700
2022,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,qohum ziyarəti,149.7,149700
2023,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,qohum ziyarəti,310.4,310400
2024,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,qohum ziyarəti,293.0,293000
2006,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,5.4,5400
2007,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,4.8,4800
2008,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,6.3,6300
2009,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,6.9,6900
2010,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,19.0,19000
2011,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,144.1,144100
2012,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,132.8,132800
2013,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,130.5,130500
2014,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,174.3,174300
2015,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,159.6,159600
2016,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,190.7,190700
2017,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,190.2,190200
2018,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,691.8,691800
2019,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,851.6,851600
2020,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,143.3,143300
2021,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,79.8,79800
2022,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,114.0,114000
2023,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,56.1,56100
2024,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər turizm,66.8,66800
2006,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,946.0,946000
2007,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,840.6,840600
2008,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1114.3,1114300
2009,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1217.4,1217400
2010,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1356.0,1356000
2011,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1242.0,1242000
2012,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1045.5,1045500
2013,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,978.0,978000
2014,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,924.9,924900
2015,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,839.6,839600
2016,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,689.8,689800
2017,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,661.5,661500
2018,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,811.4,811400
2019,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,1220.4,1220400
2020,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,418.0,418000
2021,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,416.6,416600
2022,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,571.4,571400
2023,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,753.1,753100
2024,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,digər məqsədlər,793.3,793300
