year,country,visitor_count,share_percent
2014,Avstraliya,2161,0.09
2015,Avstraliya,2233,0.11
2016,Avstraliya,1851,0.08
2017,Avstraliya,2455,0.09
2018,Avstraliya,3251,0.11
2019,Avstraliya,4054,0.13
2020,Avstraliya,360,0.05
2021,Avstraliya,218,0.03
2022,Avstraliya,1812,0.11
2023,Avstraliya,2722,0.13
2024,Avstraliya,4399,0.17
2008,Avstriya,1392,0.07
2009,Avstriya,1801,0.1
2010,Avstriya,2513,0.13
2011,Avstriya,3021,0.13
2012,Avstriya,3499,0.14
2013,Avstriya,2567,0.1
2014,Avstriya,2884,0.13
2015,Avstriya,2770,0.14
2016,Avstriya,2417,0.11
2017,Avstriya,2405,0.09
2018,Avstriya,2830,0.1
2019,Avstriya,3285,0.1
2020,Avstriya,437,0.05
2021,Avstriya,871,0.11
2022,Avstriya,1926,0.12
2023,Avstriya,2629,0.13
2024,Avstriya,2888,0.11
2008,Banqladeş,294,0.02
2009,Banqladeş,453,0.02
2010,Banqladeş,576,0.03
2011,Banqladeş,439,0.02
2012,Banqladeş,1151,0.05
2013,Banqladeş,581,0.02
2014,Banqladeş,518,0.02
2015,Banqladeş,1409,0.07
2016,Banqladeş,877,0.04
2017,Banqladeş,988,0.04
2018,Banqladeş,1233,0.04
2019,Banqladeş,1408,0.04
2020,Banqladeş,298,0.04
2021,Banqladeş,569,0.07
2022,Banqladeş,1394,0.09
2023,Banqladeş,2159,0.1
2024,Banqladeş,3999,0.15
2008,BƏƏ,346,0.02
2009,BƏƏ,270,0.01
2010,BƏƏ,412,0.02
2011,BƏƏ,469,0.02
2012,BƏƏ,551,0.02
2013,BƏƏ,638,0.03
2014,BƏƏ,821,0.04
2015,BƏƏ,2379,0.12
2016,BƏƏ,53180,2.36
2017,BƏƏ,102498,3.8
2018,BƏƏ,94031,3.3
2019,BƏƏ,68346,2.16
2020,BƏƏ,7951,1.0
2021,BƏƏ,17320,2.19
2022,BƏƏ,41085,2.56
2023,BƏƏ,45759,2.19
2024,BƏƏ,46731,1.78
2008,Bəhreyn,78,0.0
2009,Bəhreyn,80,0.0
2010,Bəhreyn,87,0.0
2011,Bəhreyn,97,0.0
2012,Bəhreyn,107,0.0
2013,Bəhreyn,188,0.01
2014,Bəhreyn,131,0.01
2015,Bəhreyn,237,0.01
2016,Bəhreyn,1562,0.07
2017,Bəhreyn,5628,0.21
2018,Bəhreyn,11422,0.4
2019,Bəhreyn,8104,0.26
2020,Bəhreyn,1746,0.22
2021,Bəhreyn,1371,0.17
2022,Bəhreyn,3424,0.21
2023,Bəhreyn,5911,0.28
2024,Bəhreyn,5917,0.23
2008,Belarus,4660,0.25
2009,Belarus,5308,0.29
2010,Belarus,5479,0.28
2011,Belarus,5724,0.26
2012,Belarus,7038,0.28
2013,Belarus,8251,0.33
2014,Belarus,9256,0.4
2015,Belarus,10729,0.53
2016,Belarus,12320,0.55
2017,Belarus,13119,0.49
2018,Belarus,13024,0.46
2019,Belarus,14844,0.47
2020,Belarus,6036,0.76
2021,Belarus,5730,0.72
2022,Belarus,18562,1.16
2023,Belarus,27612,1.32
2024,Belarus,26308,1.0
2008,Belçika,1980,0.1
2009,Belçika,2389,0.13
2010,Belçika,2233,0.11
2011,Belçika,2299,0.1
2012,Belçika,2255,0.09
2013,Belçika,1725,0.07
2014,Belçika,1908,0.08
2015,Belçika,2098,0.1
2016,Belçika,1603,0.07
2017,Belçika,1559,0.06
2018,Belçika,1996,0.07
2019,Belçika,2415,0.08
2020,Belçika,436,0.05
2021,Belçika,990,0.13
2022,Belçika,1844,0.12
2023,Belçika,2153,0.1
2024,Belçika,2963,0.11
2008,Boliviya,62,0.0
2009,Boliviya,27,0.0
2010,Boliviya,53,0.0
2011,Boliviya,36,0.0
2012,Boliviya,34,0.0
2013,Boliviya,55,0.0
2014,Boliviya,42,0.0
2015,Boliviya,27,0.0
2016,Boliviya,53,0.0
2017,Boliviya,59,0.0
2018,Boliviya,79,0.0
2019,Boliviya,85,0.0
2020,Boliviya,10,0.0
2021,Boliviya,8,0.0
2022,Boliviya,23,0.0
2023,Boliviya,45,0.0
2024,Boliviya,82,0.0
2008,Bolqarıstan,1193,0.06
2009,Bolqarıstan,1351,0.07
2010,Bolqarıstan,1638,0.08
2011,Bolqarıstan,1984,0.09
2012,Bolqarıstan,2231,0.09
2013,Bolqarıstan,2028,0.08
2014,Bolqarıstan,2324,0.1
2015,Bolqarıstan,2253,0.11
2016,Bolqarıstan,1531,0.07
2017,Bolqarıstan,1527,0.06
2018,Bolqarıstan,2552,0.09
2019,Bolqarıstan,2497,0.08
2020,Bolqarıstan,365,0.05
2021,Bolqarıstan,394,0.05
2022,Bolqarıstan,913,0.06
2023,Bolqarıstan,1736,0.08
2024,Bolqarıstan,2703,0.1
2008,Bosniya və Hersoqovina,901,0.05
2009,Bosniya və Hersoqovina,1301,0.07
2010,Bosniya və Hersoqovina,276,0.01
2011,Bosniya və Hersoqovina,179,0.01
2012,Bosniya və Hersoqovina,278,0.01
2013,Bosniya və Hersoqovina,254,0.01
2014,Bosniya və Hersoqovina,275,0.01
2015,Bosniya və Hersoqovina,335,0.02
2016,Bosniya və Hersoqovina,257,0.01
2017,Bosniya və Hersoqovina,321,0.01
2018,Bosniya və Hersoqovina,314,0.01
2019,Bosniya və Hersoqovina,355,0.01
2020,Bosniya və Hersoqovina,50,0.01
2021,Bosniya və Hersoqovina,101,0.01
2022,Bosniya və Hersoqovina,202,0.01
2023,Bosniya və Hersoqovina,483,0.02
2024,Bosniya və Hersoqovina,525,0.02
2008,Böyük Britaniya,29362,1.55
2009,Böyük Britaniya,25699,1.4
2010,Böyük Britaniya,24160,1.23
2011,Böyük Britaniya,24646,1.1
2012,Böyük Britaniya,29125,1.17
2013,Böyük Britaniya,32841,1.31
2014,Böyük Britaniya,33563,1.46
2015,Böyük Britaniya,34892,1.74
2016,Böyük Britaniya,29514,1.31
2017,Böyük Britaniya,31751,1.18
2018,Böyük Britaniya,29417,1.03
2019,Böyük Britaniya,36914,1.16
2020,Böyük Britaniya,7051,0.89
2021,Böyük Britaniya,9428,1.19
2022,Böyük Britaniya,17478,1.09
2023,Böyük Britaniya,21562,1.03
2024,Böyük Britaniya,25693,0.98
2008,Braziliya,255,0.01
2009,Braziliya,399,0.02
2010,Braziliya,434,0.02
2011,Braziliya,500,0.02
2012,Braziliya,516,0.02
2013,Braziliya,817,0.03
2014,Braziliya,729,0.03
2015,Braziliya,788,0.04
2016,Braziliya,1028,0.05
2017,Braziliya,1290,0.05
2018,Braziliya,1722,0.06
2019,Braziliya,2106,0.07
2020,Braziliya,279,0.04
2021,Braziliya,418,0.05
2022,Braziliya,1131,0.07
2023,Braziliya,1642,0.08
2024,Braziliya,3758,0.14
2008,Cənubi Afrika,453,0.02
2009,Cənubi Afrika,549,0.03
2010,Cənubi Afrika,716,0.04
2011,Cənubi Afrika,550,0.02
2012,Cənubi Afrika,878,0.04
2013,Cənubi Afrika,916,0.04
2014,Cənubi Afrika,1048,0.05
2015,Cənubi Afrika,709,0.04
2016,Cənubi Afrika,902,0.04
2017,Cənubi Afrika,938,0.03
2018,Cənubi Afrika,1284,0.05
2019,Cənubi Afrika,1326,0.04
2020,Cənubi Afrika,253,0.03
2021,Cənubi Afrika,245,0.03
2022,Cənubi Afrika,832,0.05
2023,Cənubi Afrika,1322,0.06
2024,Cənubi Afrika,1774,0.07
2008,Çexiya Respublikası,784,0.04
2009,Çexiya Respublikası,948,0.05
2010,Çexiya Respublikası,1013,0.05
2011,Çexiya Respublikası,1025,0.05
2012,Çexiya Respublikası,1279,0.05
2013,Çexiya Respublikası,1497,0.06
2014,Çexiya Respublikası,1709,0.07
2015,Çexiya Respublikası,1845,0.09
2016,Çexiya Respublikası,1785,0.08
2017,Çexiya Respublikası,2272,0.08
2018,Çexiya Respublikası,2192,0.08
2019,Çexiya Respublikası,2390,0.08
2020,Çexiya Respublikası,314,0.04
2021,Çexiya Respublikası,704,0.09
2022,Çexiya Respublikası,1142,0.07
2023,Çexiya Respublikası,2002,0.1
2024,Çexiya Respublikası,2679,0.1
2008,Çili,35,0.0
2009,Çili,13,0.0
2010,Çili,28,0.0
2011,Çili,35,0.0
2012,Çili,66,0.0
2013,Çili,96,0.0
2014,Çili,90,0.0
2015,Çili,67,0.0
2016,Çili,77,0.0
2017,Çili,166,0.01
2018,Çili,115,0.0
2019,Çili,160,0.01
2020,Çili,27,0.0
2021,Çili,21,0.0
2022,Çili,68,0.0
2023,Çili,145,0.01
2024,Çili,266,0.01
2008,Çin,7138,0.38
2009,Çin,6322,0.35
2010,Çin,5846,0.3
2011,Çin,6224,0.28
2012,Çin,5060,0.2
2013,Çin,6465,0.26
2014,Çin,5930,0.26
2015,Çin,5094,0.25
2016,Çin,7363,0.33
2017,Çin,10274,0.38
2018,Çin,15730,0.55
2019,Çin,25542,0.81
2020,Çin,1532,0.19
2021,Çin,1781,0.22
2022,Çin,3548,0.22
2023,Çin,23154,1.11
2024,Çin,44798,1.71
2008,Danimarka,682,0.04
2009,Danimarka,688,0.04
2010,Danimarka,745,0.04
2011,Danimarka,870,0.04
2012,Danimarka,1099,0.04
2013,Danimarka,1087,0.04
2014,Danimarka,1027,0.04
2015,Danimarka,1178,0.06
2016,Danimarka,1060,0.05
2017,Danimarka,1392,0.05
2018,Danimarka,1508,0.05
2019,Danimarka,1982,0.06
2020,Danimarka,443,0.06
2021,Danimarka,1743,0.22
2022,Danimarka,847,0.05
2023,Danimarka,1264,0.06
2024,Danimarka,1960,0.07
2008,Əfqanıstan,443,0.02
2009,Əfqanıstan,303,0.02
2010,Əfqanıstan,194,0.01
2011,Əfqanıstan,270,0.01
2012,Əfqanıstan,393,0.02
2013,Əfqanıstan,636,0.03
2014,Əfqanıstan,674,0.03
2015,Əfqanıstan,545,0.03
2016,Əfqanıstan,535,0.02
2017,Əfqanıstan,707,0.03
2018,Əfqanıstan,1144,0.04
2019,Əfqanıstan,1296,0.04
2020,Əfqanıstan,187,0.02
2021,Əfqanıstan,149,0.02
2022,Əfqanıstan,328,0.02
2023,Əfqanıstan,349,0.02
2024,Əfqanıstan,120,0.0
2008,Əlcəzair,137,0.01
2009,Əlcəzair,213,0.01
2010,Əlcəzair,229,0.01
2011,Əlcəzair,180,0.01
2012,Əlcəzair,135,0.01
2013,Əlcəzair,197,0.01
2014,Əlcəzair,121,0.01
2015,Əlcəzair,210,0.01
2016,Əlcəzair,189,0.01
2017,Əlcəzair,473,0.02
2018,Əlcəzair,547,0.02
2019,Əlcəzair,979,0.03
2020,Əlcəzair,175,0.02
2021,Əlcəzair,143,0.02
2022,Əlcəzair,469,0.03
2023,Əlcəzair,1885,0.09
2024,Əlcəzair,3423,0.13
2008,Estoniya,794,0.04
2009,Estoniya,606,0.03
2010,Estoniya,566,0.03
2011,Estoniya,559,0.02
2012,Estoniya,791,0.03
2013,Estoniya,787,0.03
2014,Estoniya,878,0.04
2015,Estoniya,1017,0.05
2016,Estoniya,844,0.04
2017,Estoniya,928,0.03
2018,Estoniya,1163,0.04
2019,Estoniya,1611,0.05
2020,Estoniya,107,0.01
2021,Estoniya,243,0.03
2022,Estoniya,985,0.06
2023,Estoniya,1515,0.07
2024,Estoniya,1798,0.07
2008,Filippin,1505,0.08
2009,Filippin,1216,0.07
2010,Filippin,1153,0.06
2011,Filippin,1003,0.04
2012,Filippin,1322,0.05
2013,Filippin,1445,0.06
2014,Filippin,1488,0.06
2015,Filippin,1613,0.08
2016,Filippin,1889,0.08
2017,Filippin,2575,0.1
2018,Filippin,3698,0.13
2019,Filippin,4607,0.15
2020,Filippin,687,0.09
2021,Filippin,1323,0.17
2022,Filippin,4658,0.29
2023,Filippin,7758,0.37
2024,Filippin,11195,0.43
2008,Finlandiya,973,0.05
2009,Finlandiya,1098,0.06
2010,Finlandiya,1041,0.05
2011,Finlandiya,699,0.03
2012,Finlandiya,902,0.04
2013,Finlandiya,935,0.04
2014,Finlandiya,913,0.04
2015,Finlandiya,1234,0.06
2016,Finlandiya,1016,0.05
2017,Finlandiya,1418,0.05
2018,Finlandiya,1695,0.06
2019,Finlandiya,2146,0.07
2020,Finlandiya,150,0.02
2021,Finlandiya,255,0.03
2022,Finlandiya,640,0.04
2023,Finlandiya,967,0.05
2024,Finlandiya,1176,0.04
2008,Fransa,3833,0.2
2009,Fransa,3994,0.22
2010,Fransa,4128,0.21
2011,Fransa,4799,0.21
2012,Fransa,5870,0.24
2013,Fransa,5919,0.24
2014,Fransa,6858,0.3
2015,Fransa,6637,0.33
2016,Fransa,5785,0.26
2017,Fransa,6959,0.26
2018,Fransa,7903,0.28
2019,Fransa,9101,0.29
2020,Fransa,1506,0.19
2021,Fransa,2278,0.29
2022,Fransa,4724,0.29
2023,Fransa,6133,0.29
2024,Fransa,7360,0.28
2008,Gürcüstan,607875,32.01
2009,Gürcüstan,529613,28.93
2010,Gürcüstan,491942,25.06
2011,Gürcüstan,573063,25.59
2012,Gürcüstan,763251,30.73
2013,Gürcüstan,810390,32.3
2014,Gürcüstan,699532,30.44
2015,Gürcüstan,571648,28.49
2016,Gürcüstan,506306,22.51
2017,Gürcüstan,538213,19.96
2018,Gürcüstan,610556,21.43
2019,Gürcüstan,725465,22.88
2020,Gürcüstan,184228,23.15
2021,Gürcüstan,62666,7.91
2022,Gürcüstan,82206,5.13
2023,Gürcüstan,104450,5.01
2024,Gürcüstan,111300,4.24
2008,Efiopiya Federativ Demokratik Respublikası,30,0.0
2009,Efiopiya Federativ Demokratik Respublikası,36,0.0
2010,Efiopiya Federativ Demokratik Respublikası,30,0.0
2011,Efiopiya Federativ Demokratik Respublikası,22,0.0
2012,Efiopiya Federativ Demokratik Respublikası,30,0.0
2013,Efiopiya Federativ Demokratik Respublikası,29,0.0
2014,Efiopiya Federativ Demokratik Respublikası,28,0.0
2015,Efiopiya Federativ Demokratik Respublikası,23,0.0
2016,Efiopiya Federativ Demokratik Respublikası,197,0.01
2017,Efiopiya Federativ Demokratik Respublikası,118,0.0
2018,Efiopiya Federativ Demokratik Respublikası,72,0.0
2019,Efiopiya Federativ Demokratik Respublikası,80,0.0
2020,Efiopiya Federativ Demokratik Respublikası,28,0.0
2021,Efiopiya Federativ Demokratik Respublikası,71,0.01
2022,Efiopiya Federativ Demokratik Respublikası,174,0.01
2023,Efiopiya Federativ Demokratik Respublikası,190,0.01
2024,Efiopiya Federativ Demokratik Respublikası,459,0.02
2008,Hindistan,4236,0.22
2009,Hindistan,3721,0.2
2010,Hindistan,3755,0.19
2011,Hindistan,3715,0.17
2012,Hindistan,5048,0.2
2013,Hindistan,4791,0.19
2014,Hindistan,4853,0.21
2015,Hindistan,5584,0.28
2016,Hindistan,6012,0.27
2017,Hindistan,14244,0.53
2018,Hindistan,39051,1.37
2019,Hindistan,65118,2.05
2020,Hindistan,12769,1.6
2021,Hindistan,5705,0.72
2022,Hindistan,60731,3.79
2023,Hindistan,117302,5.62
2024,Hindistan,243633,9.28
2008,İndoneziya,378,0.02
2009,İndoneziya,314,0.02
2010,İndoneziya,353,0.02
2011,İndoneziya,440,0.02
2012,İndoneziya,577,0.02
2013,İndoneziya,706,0.03
2014,İndoneziya,686,0.03
2015,İndoneziya,828,0.04
2016,İndoneziya,1285,0.06
2017,İndoneziya,1798,0.07
2018,İndoneziya,2303,0.08
2019,İndoneziya,2193,0.07
2020,İndoneziya,871,0.11
2021,İndoneziya,928,0.12
2022,İndoneziya,868,0.05
2023,İndoneziya,1517,0.07
2024,İndoneziya,2711,0.1
2008,İordaniya,576,0.03
2009,İordaniya,299,0.02
2010,İordaniya,392,0.02
2011,İordaniya,379,0.02
2012,İordaniya,387,0.02
2013,İordaniya,442,0.02
2014,İordaniya,510,0.02
2015,İordaniya,464,0.02
2016,İordaniya,945,0.04
2017,İordaniya,2108,0.08
2018,İordaniya,3573,0.13
2019,İordaniya,4359,0.14
2020,İordaniya,495,0.06
2021,İordaniya,811,0.1
2022,İordaniya,4826,0.3
2023,İordaniya,5116,0.25
2024,İordaniya,7148,0.27
2008,İran,308650,16.25
2009,İran,329913,18.02
2010,İran,349960,17.83
2011,İran,407576,18.2
2012,İran,283739,11.42
2013,İran,143579,5.72
2014,İran,131179,5.71
2015,İran,149600,7.46
2016,İran,248632,11.06
2017,İran,363528,13.48
2018,İran,241124,8.46
2019,İran,255628,8.06
2020,İran,72783,9.15
2021,İran,125358,15.83
2022,İran,170450,10.64
2023,İran,165214,7.92
2024,İran,210081,8.0
2008,İraq,677,0.04
2009,İraq,476,0.03
2010,İraq,549,0.03
2011,İraq,679,0.03
2012,İraq,917,0.04
2013,İraq,991,0.04
2014,İraq,738,0.03
2015,İraq,2147,0.11
2016,İraq,62983,2.8
2017,İraq,62547,2.32
2018,İraq,67514,2.37
2019,İraq,50723,1.6
2020,İraq,5186,0.65
2021,İraq,1019,0.13
2022,İraq,2153,0.13
2023,İraq,2362,0.11
2024,İraq,5320,0.2
2008,İrlandiya,838,0.04
2009,İrlandiya,757,0.04
2010,İrlandiya,961,0.05
2011,İrlandiya,919,0.04
2012,İrlandiya,969,0.04
2013,İrlandiya,1068,0.04
2014,İrlandiya,1326,0.06
2015,İrlandiya,1443,0.07
2016,İrlandiya,1190,0.05
2017,İrlandiya,1523,0.06
2018,İrlandiya,1514,0.05
2019,İrlandiya,2011,0.06
2020,İrlandiya,319,0.04
2021,İrlandiya,658,0.08
2022,İrlandiya,1137,0.07
2023,İrlandiya,1377,0.07
2024,İrlandiya,1955,0.07
2008,Fələstin dövləti,34,0.0
2009,Fələstin dövləti,42,0.0
2010,Fələstin dövləti,25,0.0
2011,Fələstin dövləti,68,0.0
2012,Fələstin dövləti,53,0.0
2013,Fələstin dövləti,69,0.0
2014,Fələstin dövləti,64,0.0
2015,Fələstin dövləti,53,0.0
2016,Fələstin dövləti,236,0.01
2017,Fələstin dövləti,674,0.02
2018,Fələstin dövləti,1716,0.06
2019,Fələstin dövləti,1383,0.04
2020,Fələstin dövləti,120,0.02
2021,Fələstin dövləti,284,0.04
2022,Fələstin dövləti,956,0.06
2023,Fələstin dövləti,1122,0.05
2024,Fələstin dövləti,1290,0.05
2008,İslandiya,64,0.0
2009,İslandiya,219,0.01
2010,İslandiya,170,0.01
2011,İslandiya,384,0.02
2012,İslandiya,651,0.03
2013,İslandiya,700,0.03
2014,İslandiya,828,0.04
2015,İslandiya,773,0.04
2016,İslandiya,368,0.02
2017,İslandiya,298,0.01
2018,İslandiya,285,0.01
2019,İslandiya,285,0.01
2020,İslandiya,594,0.07
2021,İslandiya,479,0.06
2022,İslandiya,337,0.02
2023,İslandiya,164,0.01
2024,İslandiya,427,0.02
2008,İspaniya,696,0.04
2009,İspaniya,936,0.05
2010,İspaniya,1074,0.05
2011,İspaniya,1388,0.06
2012,İspaniya,1685,0.07
2013,İspaniya,2321,0.09
2014,İspaniya,3000,0.13
2015,İspaniya,3355,0.17
2016,İspaniya,2445,0.11
2017,İspaniya,2903,0.11
2018,İspaniya,3807,0.13
2019,İspaniya,4730,0.15
2020,İspaniya,591,0.07
2021,İspaniya,1208,0.15
2022,İspaniya,2410,0.15
2023,İspaniya,3783,0.18
2024,İspaniya,7603,0.29
2008,İsrail,6233,0.33
2009,İsrail,6516,0.36
2010,İsrail,6346,0.32
2011,İsrail,5671,0.25
2012,İsrail,6369,0.26
2013,İsrail,6989,0.28
2014,İsrail,7534,0.33
2015,İsrail,8325,0.41
2016,İsrail,10814,0.48
2017,İsrail,15385,0.57
2018,İsrail,40158,1.41
2019,İsrail,47056,1.48
2020,İsrail,4238,0.53
2021,İsrail,6655,0.84
2022,İsrail,23933,1.49
2023,İsrail,29091,1.39
2024,İsrail,28954,1.1
2008,İsveç,1385,0.07
2009,İsveç,1126,0.06
2010,İsveç,1357,0.07
2011,İsveç,1274,0.06
2012,İsveç,2012,0.08
2013,İsveç,1857,0.07
2014,İsveç,1874,0.08
2015,İsveç,1955,0.1
2016,İsveç,2003,0.09
2017,İsveç,2616,0.1
2018,İsveç,3042,0.11
2019,İsveç,3457,0.11
2020,İsveç,495,0.06
2021,İsveç,781,0.1
2022,İsveç,1885,0.12
2023,İsveç,2507,0.12
2024,İsveç,3316,0.13
2008,İsveçrə,1022,0.05
2009,İsveçrə,1429,0.08
2010,İsveçrə,1227,0.06
2011,İsveçrə,1246,0.06
2012,İsveçrə,1707,0.07
2013,İsveçrə,1600,0.06
2014,İsveçrə,1774,0.08
2015,İsveçrə,2129,0.11
2016,İsveçrə,1672,0.07
2017,İsveçrə,1870,0.07
2018,İsveçrə,2517,0.09
2019,İsveçrə,3215,0.1
2020,İsveçrə,377,0.05
2021,İsveçrə,1134,0.14
2022,İsveçrə,1352,0.08
2023,İsveçrə,2006,0.1
2024,İsveçrə,2522,0.1
2008,İtaliya,3762,0.2
2009,İtaliya,4066,0.22
2010,İtaliya,4732,0.24
2011,İtaliya,4857,0.22
2012,İtaliya,6767,0.27
2013,İtaliya,8566,0.34
2014,İtaliya,9605,0.42
2015,İtaliya,10379,0.52
2016,İtaliya,8654,0.38
2017,İtaliya,10133,0.38
2018,İtaliya,11035,0.39
2019,İtaliya,12259,0.39
2020,İtaliya,2820,0.35
2021,İtaliya,3498,0.44
2022,İtaliya,6215,0.39
2023,İtaliya,10058,0.48
2024,İtaliya,13584,0.52
2008,Kamerun,42,0.0
2009,Kamerun,47,0.0
2010,Kamerun,40,0.0
2011,Kamerun,55,0.0
2012,Kamerun,40,0.0
2013,Kamerun,119,0.0
2014,Kamerun,52,0.0
2015,Kamerun,73,0.0
2016,Kamerun,85,0.0
2017,Kamerun,146,0.01
2018,Kamerun,50,0.0
2019,Kamerun,67,0.0
2020,Kamerun,10,0.0
2021,Kamerun,16,0.0
2022,Kamerun,41,0.0
2023,Kamerun,85,0.0
2024,Kamerun,252,0.01
2008,Kanada,2356,0.12
2009,Kanada,2036,0.11
2010,Kanada,2050,0.1
2011,Kanada,1851,0.08
2012,Kanada,2566,0.1
2013,Kanada,2411,0.1
2014,Kanada,2501,0.11
2015,Kanada,2372,0.12
2016,Kanada,2320,0.1
2017,Kanada,3190,0.12
2018,Kanada,4108,0.14
2019,Kanada,4643,0.15
2020,Kanada,624,0.08
2021,Kanada,824,0.1
2022,Kanada,2751,0.17
2023,Kanada,3852,0.18
2024,Kanada,5322,0.2
2008,Kolumbiya,364,0.02
2009,Kolumbiya,349,0.02
2010,Kolumbiya,332,0.02
2011,Kolumbiya,417,0.02
2012,Kolumbiya,427,0.02
2013,Kolumbiya,437,0.02
2014,Kolumbiya,432,0.02
2015,Kolumbiya,464,0.02
2016,Kolumbiya,592,0.03
2017,Kolumbiya,542,0.02
2018,Kolumbiya,759,0.03
2019,Kolumbiya,579,0.02
2020,Kolumbiya,94,0.01
2021,Kolumbiya,136,0.02
2022,Kolumbiya,424,0.03
2023,Kolumbiya,828,0.04
2024,Kolumbiya,1150,0.04
2008,Koreya Respublikası,2446,0.13
2009,Koreya Respublikası,2082,0.11
2010,Koreya Respublikası,2647,0.13
2011,Koreya Respublikası,2461,0.11
2012,Koreya Respublikası,2829,0.11
2013,Koreya Respublikası,3134,0.12
2014,Koreya Respublikası,3368,0.15
2015,Koreya Respublikası,3061,0.15
2016,Koreya Respublikası,3132,0.14
2017,Koreya Respublikası,4642,0.17
2018,Koreya Respublikası,7854,0.28
2019,Koreya Respublikası,9415,0.3
2020,Koreya Respublikası,681,0.09
2021,Koreya Respublikası,413,0.05
2022,Koreya Respublikası,2345,0.15
