rayon,year,capacity,rooms,nights,nights_domestic,nights_foreign,guests,guests_domestic,guests_foreign,revenue,expense,employees,economic_region,area_sqkm,hotel_density,revenue_per_capacity,revenue_per_guest,expense_per_guest,avg_stay,occupancy_proxy,emp_per_capacity,foreign_tourist_ratio,domestic_tourist_ratio,profit,profit_per_capacity,foreign_night_ratio
Biləsuvar rayonu,2006,36.0,14.0,336.0,336.0,,259.0,259.0,,1.8,1.8,1.0,,,0.0,0.05,0.00694980694980695,0.00694980694980695,1.2972972972972974,0.025570776255707764,0.027777777777777776,0.0,1.0,0.0,0.0,0.0
Binəqədi rayonu,2006,668.0,292.0,20173.0,1140.0,19033.0,9544.0,960.0,8584.0,969.9,904.8,97.0,Baku,,0.0,1.4519461077844311,0.10162405699916177,0.09480301760268231,2.1136839899413244,0.08273726519563612,0.14520958083832336,0.8994132439228835,0.10058675607711651,65.10000000000002,0.09745508982035932,0.943488821692361
Bərdə rayonu,2006,108.0,75.0,1325.0,1325.0,,1325.0,1325.0,,5.9,5.7,10.0,Karabakh,,0.0,0.05462962962962963,0.0044528301886792455,0.00430188679245283,1.0,0.03361237950279046,0.09259259259259259,0.0,1.0,0.20000000000000018,0.0018518518518518534,0.0
Cəlilabad rayonu,2006,108.0,57.0,2875.0,2306.0,569.0,1324.0,1178.0,146.0,8.1,6.8,6.0,Lankaran-Astara,,0.0,0.075,0.006117824773413897,0.0051359516616314195,2.171450151057402,0.07293252156265854,0.05555555555555555,0.11027190332326284,0.8897280966767371,1.2999999999999998,0.012037037037037035,0.19791304347826086
Dağlıq Şirvan iqtisadi rayonu,2006,806.0,390.0,20031.0,19986.0,45.0,8334.0,8304.0,30.0,248.7,193.89999999999998,100.0,,,0.0,0.308560794044665,0.02984161267098632,0.023266138708903285,2.4035277177825773,0.06808865019205275,0.12406947890818859,0.003599712023038157,0.9964002879769619,54.80000000000001,0.06799007444168736,0.002246517897259248
Daşkəsən rayonu,2006,11.0,6.0,,,,,,,,,1.0,Ganja-Dashkasan,,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
Göygöl rayonu,2006,70.0,31.0,840.0,840.0,,711.0,711.0,,9.6,7.1,8.0,,,0.0,0.13714285714285715,0.01350210970464135,0.009985935302390997,1.1814345991561181,0.03287671232876712,0.11428571428571428,0.0,1.0,2.5,0.03571428571428571,0.0
Göyçay rayonu,2006,26.0,20.0,600.0,560.0,40.0,420.0,400.0,20.0,3.7,3.7,5.0,Central Aran,,0.0,0.1423076923076923,0.00880952380952381,0.00880952380952381,1.4285714285714286,0.06322444678609063,0.19230769230769232,0.047619047619047616,0.9523809523809523,0.0,0.0,0.06666666666666667
Gədəbəy rayonu,2006,52.0,25.0,,,,,,,10.3,6.4,4.0,Ganja-Dashkasan,,0.0,0.1980769230769231,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,3.9000000000000004,0.07500000000000001,0.0
Gəncə  şəhəri,2006,481.0,255.0,10017.0,7111.0,2906.0,8832.0,7111.0,1721.0,115.5,151.6,42.0,,,0.0,0.24012474012474014,0.013077445652173914,0.017164855072463767,1.1341711956521738,0.05705579130236665,0.08731808731808732,0.19485960144927536,0.8051403985507246,-36.099999999999994,-0.07505197505197504,0.2901068184087052
Gəncə-Daşkəsən iqtisadi rayonu,2006,4834.0,2085.0,66577.0,63550.0,3027.0,12335.0,10608.0,1727.0,679.9,669.6,202.0,,,0.0,0.14064956557716177,0.055119578435346574,0.05428455614106202,5.397405755978922,0.03773329328217365,0.041787339677285894,0.14000810701256586,0.8599918929874342,10.299999999999955,0.0021307405875051625,0.04546615197440557
Kürdəmir rayonu,2006,94.0,44.0,1080.0,1080.0,,1080.0,1080.0,,5.7,1.6,4.0,Central Aran,,0.0,0.06063829787234043,0.005277777777777778,0.0014814814814814816,1.0,0.031477703293500435,0.0425531914893617,0.0,1.0,4.1,0.04361702127659574,0.0
Lerik rayonu,2006,27.0,28.0,1341.0,949.0,392.0,568.0,420.0,148.0,57.6,37.5,16.0,Lankaran-Astara,1101.38591173,0.024514568156759693,2.1333333333333333,0.10140845070422536,0.06602112676056338,2.3609154929577465,0.13607305936073058,0.5925925925925926,0.2605633802816901,0.7394366197183099,20.1,0.7444444444444445,0.2923191648023863
Lənkəran iqtisadi rayonu,2006,1736.0,837.0,93068.0,90005.0,3063.0,35056.0,33343.0,1713.0,694.4000000000001,596.4,252.0,,,0.0,0.4000000000000001,0.01980830670926518,0.017012779552715653,2.6548379735280694,0.14687835363929044,0.14516129032258066,0.048864673664993155,0.9511353263350069,98.00000000000011,0.056451612903225874,0.03291141960716895
Lənkəran rayonu,2006,367.0,192.0,4457.0,3274.0,1183.0,2846.0,2249.0,597.0,290.3,304.8,76.0,,,0.0,0.7910081743869211,0.10200281096275475,0.10709768095572735,1.5660576247364721,0.03327236758612967,0.20708446866485014,0.20976809557273365,0.7902319044272663,-14.5,-0.039509536784741145,0.26542517388377834
Masallı rayonu,2006,1022.0,467.0,81012.0,81005.0,7.0,27532.0,27512.0,20.0,310.3,203.4,137.0,Lankaran-Astara,,0.0,0.3036203522504892,0.011270521574894669,0.007387766962080489,2.9424669475519396,0.21717288153767794,0.13405088062622308,0.000726427429899753,0.9992735725701003,106.9,0.10459882583170255,8.640695205648546e-05
Mil-Muğan iqtisadi rayonu,2006,91.0,35.0,1599.0,1596.0,3.0,1169.0,1168.0,1.0,23.0,9.5,8.0,,,0.0,0.25274725274725274,0.019674935842600515,0.008126603934987169,1.3678357570573139,0.04814090019569472,0.08791208791208792,0.000855431993156544,0.9991445680068435,13.5,0.14835164835164835,0.001876172607879925
Mingəçevir şəhəri,2006,773.0,276.0,8110.0,7739.0,371.0,4769.0,4651.0,118.0,64.5,67.7,34.0,Central Aran,,0.0,0.08344113842173351,0.013524847976514993,0.014195848186202559,1.7005661564269239,0.02874408548795832,0.04398447606727038,0.02474313273222898,0.975256867267771,-3.200000000000003,-0.004139715394566627,0.045745992601726265
Mərkəzi Aran iqtisadi rayonu,2006,1225.0,595.0,11331.0,10894.0,437.0,6803.0,6652.0,151.0,83.69999999999999,82.4,58.0,,,0.0,0.06832653061224489,0.012303395560782006,0.012112303395560783,1.6655887108628546,0.025341906625663966,0.0473469387755102,0.022196089960311628,0.9778039100396884,1.299999999999983,0.0010612244897959045,0.03856676374547701
Naftalan  şəhəri,2006,4272.0,1793.0,55720.0,55599.0,121.0,2792.0,2786.0,6.0,554.8,510.9,151.0,,15.57198574,274.33880760797564,0.1298689138576779,0.1987106017191977,0.18298710601719198,19.95702005730659,0.035734441537119695,0.035346441947565546,0.002148997134670487,0.9978510028653295,43.89999999999998,0.010276217228464415,0.002171572146446518
Neftçala rayonu,2006,60.0,32.0,437.0,437.0,,437.0,437.0,,0.9,1.5,3.0,,,0.0,0.015000000000000001,0.002059496567505721,0.003432494279176201,1.0,0.01995433789954338,0.05,0.0,1.0,-0.6,-0.01,0.0
Nizami rayonu,2006,214.0,128.0,12772.0,7099.0,5673.0,4423.0,2234.0,2189.0,763.3,531.8,53.0,Baku,,0.0,3.5668224299065416,0.1725751752204386,0.12023513452407866,2.8876328283970154,0.16351299449494303,0.24766355140186916,0.49491295500791316,0.5050870449920868,231.5,1.0817757009345794,0.4441747572815534
Nərimanov rayonu,2006,834.0,410.0,8945.0,874.0,8071.0,2944.0,374.0,2570.0,3348.9,2705.6,205.0,Baku,,0.0,4.015467625899281,1.1375339673913043,0.9190217391304347,3.038383152173913,0.029384711408955027,0.24580335731414868,0.8729619565217391,0.12703804347826086,643.3000000000002,0.7713429256594726,0.9022917831190609
Nəsimi rayonu,2006,790.0,610.0,98092.0,2765.0,95327.0,32598.0,1641.0,30957.0,14469.2,13731.1,476.0,Baku,,0.0,18.315443037974685,0.44386772194613167,0.4212252285416283,3.00914166513283,0.3401838044043697,0.6025316455696202,0.9496594883121664,0.05034051168783361,738.1000000000004,0.9343037974683549,0.971812176324267
Qarabağ iqtisadi rayonu,2006,200.0,121.0,2048.0,2048.0,,1992.0,1992.0,,9.4,9.8,14.0,,,0.0,0.047,0.004718875502008032,0.004919678714859438,1.0281124497991967,0.028054794520547946,0.07,0.0,1.0,-0.40000000000000036,-0.0020000000000000018,0.0
Qaradağ rayonu,2006,,,,,351.0,6418.0,,,,,,Baku,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qax rayonu,2006,269.0,128.0,13868.0,13778.0,90.0,1461.0,1443.0,18.0,279.0,240.6,50.0,Sheki-Zagatala,,0.0,1.037174721189591,0.19096509240246407,0.16468172484599589,9.492128678986996,0.14124357081020522,0.18587360594795538,0.012320328542094456,0.9876796714579056,38.400000000000006,0.14275092936802977,0.0064897605999423135
Qazax rayonu,2006,188.0,97.0,1855.0,1855.0,,1455.0,1455.0,,4.9,3.8,14.0,Gazakh-Tovuz,,0.0,0.026063829787234045,0.0033676975945017185,0.002611683848797251,1.274914089347079,0.027032935004371903,0.07446808510638298,0.0,1.0,1.1000000000000005,0.005851063829787237,0.0
Qazax-Tovuz iqtisadi rayonu,2006,394.0,197.0,14256.0,13773.0,483.0,8626.0,8363.0,263.0,63.39999999999999,49.3,30.0,,1818.350328,0.21667991801852607,0.1609137055837563,0.00734987247855321,0.005715279387897055,1.6526779503825644,0.09913079758014047,0.07614213197969544,0.03048921864131695,0.9695107813586831,14.099999999999994,0.03578680203045684,0.03388047138047138
Quba rayonu,2006,571.0,228.0,8274.0,7830.0,444.0,4986.0,4636.0,350.0,156.5,112.9,94.0,Guba-Khachmaz,,0.0,0.27408056042031526,0.031387886081026876,0.022643401524267952,1.6594464500601684,0.039699637742005134,0.1646234676007005,0.07019655034095468,0.9298034496590454,43.599999999999994,0.07635726795096322,0.05366207396664249
Quba-Xaçmaz iqtisadi rayonu,2006,5182.0,1895.0,147577.0,147018.0,559.0,21920.0,21542.0,378.0,1976.3,1946.8,457.0,,,0.0,0.3813778463913547,0.09015967153284671,0.08881386861313868,6.732527372262774,0.0780240347250493,0.08818988807410266,0.017244525547445256,0.9827554744525547,29.5,0.005692782709378618,0.0037878531207437473
Qusar rayonu,2006,237.0,111.0,8584.0,8584.0,,1705.0,1705.0,,133.8,130.1,25.0,Guba-Khachmaz,,0.0,0.5645569620253165,0.07847507331378299,0.07630498533724339,5.034604105571847,0.09923125830876828,0.10548523206751055,0.0,1.0,3.700000000000017,0.015611814345991633,0.0
Qəbələ rayonu,2006,215.0,68.0,1534.0,1442.0,92.0,1534.0,1442.0,92.0,112.1,112.1,36.0,,,0.0,0.5213953488372093,0.07307692307692307,0.07307692307692307,1.0,0.01954762663268557,0.16744186046511628,0.05997392438070404,0.940026075619296,0.0,0.0,0.05997392438070404
Saatlı rayonu,2006,36.0,11.0,497.0,494.0,3.0,157.0,156.0,,1.0,2.1,4.0,Mil-Mughan,,0.0,0.027777777777777776,0.006369426751592357,0.01337579617834395,3.1656050955414012,0.0378234398782344,0.1111111111111111,0.0,0.9936305732484076,-1.1,-0.030555555555555558,0.006036217303822937
Salyan rayonu,2006,101.0,66.0,1031.0,1031.0,,562.0,562.0,,3.1,3.1,3.0,,1916.78295505,0.05269245520673225,0.030693069306930693,0.005516014234875445,0.005516014234875445,1.8345195729537367,0.027966906279669062,0.0297029702970297,0.0,1.0,0.0,0.0,0.0
Siyəzən rayonu,2006,280.0,90.0,5350.0,5350.0,,201.0,201.0,,,123.4,13.0,Guba-Khachmaz,,0.0,0.0,0.0,0.6139303482587065,26.616915422885572,0.052348336594911934,0.04642857142857143,0.0,1.0,0.0,0.0,0.0
Sumqayıt şəhəri,2006,584.0,201.0,2787.0,2045.0,742.0,698.0,455.0,243.0,44.4,54.4,34.0,Absheron,,0.0,0.07602739726027397,0.06361031518624642,0.07793696275071633,3.992836676217765,0.01307468568211672,0.05821917808219178,0.34813753581661894,0.6518624641833811,-10.0,-0.017123287671232876,0.26623609616074634
Səbail rayonu,2006,2166.0,1172.0,122960.0,24900.0,98060.0,30418.0,11996.0,18422.0,11126.6,6431.5,640.0,Baku,,0.0,5.1369344413665745,0.36578999276744034,0.2114373068577816,4.042343349332632,0.15552941474088972,0.29547553093259465,0.605628246433033,0.3943717535669669,4695.1,2.1676361957525394,0.7974951203643461
Tərtər rayonu,2006,32.0,16.0,606.0,606.0,,550.0,550.0,,2.9,3.1,2.0,Karabakh,,0.0,0.090625,0.005272727272727273,0.005636363636363636,1.1018181818181818,0.05188356164383562,0.0625,0.0,1.0,-0.20000000000000018,-0.0062500000000000056,0.0
Ucar rayonu,2006,52.0,19.0,,,,,,,0.1,0.2,1.0,Central Aran,,0.0,0.0019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,-0.1,-0.0019230769230769232,0.0
Xaçmaz rayonu,2006,3828.0,1363.0,109108.0,108993.0,115.0,13839.0,13811.0,28.0,1523.1,1392.6,257.0,Guba-Khachmaz,,0.0,0.39788401253918493,0.11005853024062431,0.10062865814003902,7.884095671652576,0.078089348849859,0.06713688610240334,0.0020232675771370764,0.9979767324228629,130.5,0.03409090909090909,0.001054001539758771
Xızı rayonu,2006,326.0,141.0,2024.0,1658.0,366.0,2088.0,1581.0,507.0,106.6,224.9,24.0,Absheron,,0.0,0.32699386503067485,0.05105363984674329,0.10771072796934866,0.9693486590038314,0.017009832759055384,0.0736196319018405,0.24281609195402298,0.757183908045977,-118.30000000000001,-0.3628834355828221,0.1808300395256917
Xətai rayonu,2006,109.0,48.0,11716.0,3810.0,7906.0,5870.0,1660.0,4210.0,24.3,27.2,20.0,Baku,,0.0,0.22293577981651377,0.004139693356047701,0.004633730834752981,1.9959114139693357,0.2944828452934523,0.1834862385321101,0.717206132879046,0.282793867120954,-2.8999999999999986,-0.02660550458715595,0.6748036872652783
Xəzər rayonu,2006,1247.0,623.0,115249.0,114898.0,,,6301.0,117.0,1674.2,1610.6,486.0,Baku,,0.0,1.3425821972734564,0.0,0.0,0.0,0.25320824773978096,0.3897353648757017,0.0,0.0,63.600000000000136,0.05100240577385737,0.0
Yardımlı rayonu,2006,26.0,10.0,,,,,,,,,2.0,Lankaran-Astara,,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
Yasamal rayonu,2006,899.0,533.0,297780.0,4680.0,293100.0,65279.0,1470.0,63809.0,35688.2,18052.1,700.0,Baku,,0.0,39.69766407119021,0.546702614929763,0.27653763078478527,4.561650760581504,0.9074923430904963,0.778642936596218,0.9774812726910646,0.02251872730893549,17636.1,19.6174638487208,0.9842836993753777
Yevlax rayonu,2006,173.0,173.0,,,,,,,,,2.0,Central Aran,,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0
Zaqatala rayonu,2006,191.0,80.0,2468.0,2277.0,191.0,2057.0,1866.0,191.0,54.1,58.5,37.0,Sheki-Zagatala,,0.0,0.2832460732984293,0.026300437530384056,0.028439474963539133,1.1998055420515314,0.03540127662626408,0.193717277486911,0.09285367039377734,0.9071463296062227,-4.399999999999999,-0.023036649214659678,0.0773905996758509
Zərdab rayonu,2006,17.0,11.0,695.0,685.0,10.0,174.0,171.0,3.0,5.6,5.4,7.0,Central Aran,,0.0,0.32941176470588235,0.03218390804597701,0.031034482758620693,3.9942528735632186,0.11200644641418211,0.4117647058823529,0.017241379310344827,0.9827586206896551,0.1999999999999993,0.0117647058823529,0.014388489208633094
İmişli rayonu,2006,20.0,7.0,606.0,606.0,,606.0,606.0,1.0,1.2,1.2,2.0,Mil-Mughan,,0.0,0.06,0.0019801980198019802,0.0019801980198019802,1.0,0.08301369863013698,0.1,0.0016501650165016502,1.0,0.0,0.0,0.0
İsmayıllı rayonu,2006,200.0,87.0,3523.0,3478.0,45.0,1794.0,1764.0,30.0,19.5,13.1,21.0,Mountainous Shirvan,,0.0,0.0975,0.010869565217391304,0.007302118171683389,1.963768115942029,0.04826027397260274,0.105,0.016722408026755852,0.9832775919732442,6.4,0.032,0.012773204655123474
Şabran rayonu,2006,266.0,103.0,16261.0,16261.0,,1189.0,1189.0,,162.9,187.8,68.0,Guba-Khachmaz,,0.0,0.612406015037594,0.13700588730025232,0.1579478553406224,13.676198486122793,0.16748377793799568,0.2556390977443609,0.0,1.0,-24.900000000000006,-0.093609022556391,0.0
Şamaxı rayonu,2006,534.0,231.0,16052.0,16052.0,,6084.0,6084.0,,227.1,178.7,76.0,Mountainous Shirvan,,0.0,0.42528089887640447,0.03732741617357002,0.029372123602892833,2.638395792241946,0.08235595916063825,0.14232209737827714,0.0,1.0,48.400000000000006,0.0906367041198502,0.0
Şirvan şəhəri,2006,78.0,26.0,2496.0,2217.0,279.0,1837.0,1728.0,109.0,16.1,20.3,14.0,,,0.0,0.20641025641025643,0.008764289602612956,0.011050626020685902,1.3587370713119216,0.08767123287671233,0.1794871794871795,0.05933587370713119,0.9406641262928688,-4.199999999999999,-0.053846153846153835,0.11177884615384616
Şirvan-Salyan iqtisadi rayonu,2006,275.0,138.0,4300.0,4021.0,279.0,3095.0,2986.0,109.0,21.900000000000002,26.700000000000003,21.0,,1916.78295505,0.14346955625595414,0.07963636363636364,0.007075928917609047,0.008626817447495962,1.3893376413570275,0.042839352428393526,0.07636363636363637,0.03521809369951535,0.9647819063004847,-4.800000000000001,-0.01745454545454546,0.06488372093023256
Şəki rayonu,2006,291.0,144.0,6511.0,4841.0,1670.0,4830.0,3271.0,1559.0,216.4,262.0,52.0,,,0.0,0.7436426116838488,0.044803312629399586,0.054244306418219465,1.348033126293996,0.061300193004754505,0.17869415807560138,0.3227743271221532,0.6772256728778467,-45.599999999999994,-0.15670103092783502,0.25648901858393486
Şəki-Zaqatala iqtisadi rayonu,2006,1014.0,444.0,24541.0,22498.0,2043.0,10042.0,8182.0,1860.0,662.2,674.1,177.0,,,0.0,0.6530571992110454,0.06594303923521211,0.06712806213901613,2.4438358892650864,0.06630731404177137,0.17455621301775148,0.18522206731726748,0.8147779326827326,-11.899999999999977,-0.011735700197238637,0.08324844138380669
Şəmkir rayonu,2006,100.0,52.0,998.0,998.0,,405.0,405.0,,6.4,5.7,6.0,Gazakh-Tovuz,,0.0,0.064,0.01580246913580247,0.014074074074074074,2.4641975308641975,0.027342465753424656,0.06,0.0,1.0,0.7000000000000002,0.007000000000000002,0.0
Abşeron iqtisadi rayonu,2007,1136.0,431.0,12254.0,10731.0,1523.0,6589.0,6033.0,556.0,659.3000000000001,584.2,160.0,,,0.0,0.5803697183098592,0.1000607072393383,0.08866292305357415,1.8597662771285475,0.029553347482153193,0.14084507042253522,0.08438306268022462,0.9156169373197753,75.10000000000002,0.06610915492957749,0.124285947445732
Abşeron rayonu,2007,134.0,67.0,6671.0,6524.0,147.0,3528.0,3495.0,33.0,450.3,266.6,77.0,Absheron,,0.0,3.3604477611940298,0.1276360544217687,0.07556689342403629,1.8908730158730158,0.13639337558781436,0.5746268656716418,0.00935374149659864,0.9906462585034014,183.7,1.3708955223880597,0.022035676810073453
Astara rayonu,2007,215.0,92.0,2675.0,1653.0,1022.0,1726.0,933.0,793.0,46.0,40.3,22.0,Lankaran-Astara,461.5057835,0.4658663177944768,0.21395348837209302,0.026651216685979143,0.023348783314020856,1.5498261877172654,0.034087288945524055,0.10232558139534884,0.45944380069524915,0.5405561993047509,5.700000000000003,0.026511627906976757,0.3820560747663551
Ağcabədi rayonu,2007,60.0,30.0,120.0,120.0,,20.0,20.0,,1.0,0.8,2.0,Karabakh,,0.0,0.016666666666666666,0.05,0.04,6.0,0.005479452054794521,0.03333333333333333,0.0,1.0,0.19999999999999996,0.0033333333333333327,0.0
Ağdaş rayonu,2007,90.0,52.0,962.0,962.0,,480.0,480.0,,5.1,4.6,5.0,Central Aran,,0.0,0.056666666666666664,0.010624999999999999,0.009583333333333333,2.004166666666667,0.02928462709284627,0.05555555555555555,0.0,1.0,0.5,0.005555555555555556,0.0
Ağstafa rayonu,2007,68.0,27.0,6884.0,6349.0,535.0,6861.0,6341.0,520.0,30.0,21.6,10.0,Gazakh-Tovuz,,0.0,0.4411764705882353,0.004372540445999125,0.0031482291211193704,1.0033522810085993,0.2773569701853344,0.14705882352941177,0.07579070106398485,0.9242092989360151,8.399999999999999,0.12352941176470586,0.07771644392794887
Ağsu rayonu,2007,72.0,40.0,647.0,647.0,,471.0,471.0,,2.5,2.3,2.0,Mountainous Shirvan,,0.0,0.034722222222222224,0.005307855626326964,0.004883227176220807,1.3736730360934182,0.024619482496194826,0.027777777777777776,0.0,1.0,0.20000000000000018,0.00277777777777778,0.0
Bakı şəhəri,2007,7792.0,4342.0,702305.0,165512.0,536793.0,159137.0,27618.0,131519.0,81855.4,72184.5,3054.0,,,0.0,10.505056468172484,0.514370636621276,0.4535997285357899,4.413210001445296,0.24693574020421366,0.3919404517453799,0.8264514223593508,0.17354857764064927,9670.899999999994,1.2411319301848043,0.7643303123286891
Balakən rayonu,2007,48.0,24.0,366.0,366.0,,366.0,366.0,,3.8,3.6,3.0,Sheki-Zagatala,,0.0,0.07916666666666666,0.010382513661202184,0.009836065573770493,1.0,0.02089041095890411,0.0625,0.0,1.0,0.19999999999999973,0.004166666666666661,0.0
Beyləqan rayonu,2007,17.0,6.0,458.0,458.0,,320.0,320.0,,16.6,16.9,2.0,Mil-Mughan,,0.0,0.9764705882352942,0.051875000000000004,0.0528125,1.43125,0.07381144238517325,0.11764705882352941,0.0,1.0,-0.29999999999999716,-0.017647058823529245,0.0
Biləsuvar rayonu,2007,36.0,14.0,627.0,627.0,,331.0,331.0,,2.5,2.5,2.0,,,0.0,0.06944444444444445,0.0075528700906344415,0.0075528700906344415,1.894259818731118,0.04771689497716895,0.05555555555555555,0.0,1.0,0.0,0.0,0.0
Binəqədi rayonu,2007,834.0,380.0,20202.0,1153.0,19049.0,9281.0,687.0,8594.0,1133.9,1021.4,148.0,Baku,,0.0,1.3595923261390888,0.12217433466221313,0.11005279603491003,2.176705096433574,0.06636444269242141,0.1774580335731415,0.9259778041159358,0.07402219588406422,112.50000000000011,0.13489208633093538,0.9429264429264429
Bərdə rayonu,2007,108.0,75.0,1144.0,1144.0,,1144.0,1144.0,,7.7,7.4,8.0,Karabakh,,0.0,0.0712962962962963,0.006730769230769231,0.006468531468531468,1.0,0.02902080162354135,0.07407407407407407,0.0,1.0,0.2999999999999998,0.002777777777777776,0.0
Cəlilabad rayonu,2007,140.0,66.0,2926.0,2402.0,524.0,1352.0,1207.0,145.0,8.9,7.7,10.0,Lankaran-Astara,,0.0,0.06357142857142857,0.0065828402366863905,0.005695266272189349,2.1642011834319526,0.05726027397260274,0.07142857142857142,0.10724852071005918,0.8927514792899408,1.2000000000000002,0.008571428571428572,0.17908407382091593
Dağlıq Şirvan iqtisadi rayonu,2007,743.0,376.0,26146.0,25996.0,150.0,10206.0,10116.0,90.0,461.4,391.09999999999997,94.0,,,0.0,0.6209959623149394,0.045208700764256315,0.03832059572800313,2.5618263766411915,0.09641033204889471,0.126514131897712,0.008818342151675485,0.9911816578483245,70.30000000000001,0.09461641991924631,0.005737015222213723
Göygöl rayonu,2007,70.0,31.0,925.0,925.0,,720.0,720.0,,9.7,5.5,8.0,,,0.0,0.13857142857142857,0.01347222222222222,0.007638888888888889,1.2847222222222223,0.036203522504892366,0.11428571428571428,0.0,1.0,4.199999999999999,0.05999999999999999,0.0
Göyçay rayonu,2007,26.0,20.0,680.0,660.0,20.0,430.0,410.0,20.0,4.2,3.9,5.0,Central Aran,,0.0,0.16153846153846155,0.009767441860465118,0.009069767441860464,1.5813953488372092,0.07165437302423604,0.19230769230769232,0.046511627906976744,0.9534883720930233,0.30000000000000027,0.01153846153846155,0.029411764705882353
Gədəbəy rayonu,2007,63.0,38.0,587.0,587.0,,235.0,235.0,,10.5,5.5,4.0,Ganja-Dashkasan,,0.0,0.16666666666666666,0.04468085106382979,0.023404255319148935,2.497872340425532,0.02552728854098717,0.06349206349206349,0.0,1.0,5.0,0.07936507936507936,0.0
